('105560', 'KB금융(지주)', '기타 금융업', 'KB금융')
('055550', '신한지주', '기타 금융업', '신한지주')
('086790', '하나금융지주', '기타 금융업', '하나금융지주')
('316140', '우리금융지주', '기타 금융업', '우리금융지주')
('138040', '메리츠금융지주', '기타 금융업', '메리츠금융지주')
('024110', '기업은행', '은행 및 저축기관', '기업은행')
('000030', '우리은행', 'NOT_FOUND', '')
('030200', 'KT(비교용,비금융)', '전기 통신업', '케이티')
('006800', '미래에셋증권', '금융 지원 서비스업', '미래에셋증권')
('016360', '삼성증권', '금융 지원 서비스업', '삼성증권')
('039490', '키움증권', '금융 지원 서비스업', '키움증권')
('005940', 'NH투자증권', '금융 지원 서비스업', 'NH투자증권')
('032830', '삼성생명', '보험업', '삼성생명')
('000810', '삼성화재', '보험업', '삼성화재해상보험')
('082640', '한화손해보험', '보험업', '동양생명')
('088350', '한화생명', '보험업', '한화생명')
('001450', '현대해상', '보험업', '현대해상')
('029780', '삼성카드', '기타 금융업', '삼성카드')
('139130', 'DGB금융지주', '기타 금융업', 'iM금융지주')
('072130', '유엔젤(비교용)', '자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업', '유엔젤')
