corp_code,corp_name,reason
164779,SK하이닉스,No income statement or sales account found
126371,삼성전기,No income statement or sales account found
149655,삼성물산,No income statement or sales account found
877059,삼성바이오로직스,No income statement or sales account found
1390344,HD현대중공업,No income statement or sales account found
181712,SK,No income statement or sales account found
126362,삼성SDI,No income statement or sales account found
1205851,HD현대일렉트릭,No income statement or sales account found
105855,LS ELECTRIC,No income statement or sales account found
164830,HD한국조선해양,No income statement or sales account found
155319,POSCO홀딩스,No income statement or sales account found
159193,한국전력,No income statement or sales account found
102858,고려아연,No income statement or sales account found
302926,현대로템,No income statement or sales account found
161383,한미반도체,No income statement or sales account found
164645,HMM,No income statement or sales account found
503668,LIG디펜스앤에어로스페이스,No income statement or sales account found
1205709,HD현대,No income statement or sales account found
126186,삼성에스디에스,No income statement or sales account found
309503,한국항공우주,No income statement or sales account found
1190568,에이피알,No income statement or sales account found
138279,S-Oil,No income statement or sales account found
155276,포스코퓨처엠,No income statement or sales account found
339391,한화시스템,No income statement or sales account found
362441,현대오토에버,No income statement or sales account found
164478,현대건설,No income statement or sales account found
113526,대한항공,No income statement or sales account found
105952,LS,No income statement or sales account found
126955,삼양식품,No income statement or sales account found
937324,한국타이어앤테크놀로지,No income statement or sales account found
1194689,HD현대마린솔루션,No income statement or sales account found
983040,한진칼,No income statement or sales account found
124504,포스코인터내셔널,No income statement or sales account found
583424,아모레퍼시픽,No income statement or sales account found
107613,이수페타시스,No income statement or sales account found
160588,한화,No income statement or sales account found
170558,코웨이,No income statement or sales account found
878696,SK바이오팜,No income statement or sales account found
1205842,HD건설기계,No income statement or sales account found
113207,대한전선,No income statement or sales account found
366438,산일전기,No income statement or sales account found
1478712,대덕전자,No income statement or sales account found
145109,유한양행,No income statement or sales account found
1238169,오리온,No income statement or sales account found
828497,한미약품,No income statement or sales account found
105873,LG디스플레이,No income statement or sales account found
